Epoch,Loss,Time
121,2.8785,2021-02-23 21:17:45.941822
122,2.8707,2021-02-23 21:19:49.885572
123,2.8469,2021-02-23 21:21:54.990135
124,2.8597,2021-02-23 21:23:57.185516
125,2.8342,2021-02-23 21:25:57.846677
126,2.8228,2021-02-23 21:27:59.157869
127,2.8094,2021-02-23 21:29:59.674785
128,2.8185,2021-02-23 21:31:58.401458
129,2.7888,2021-02-23 21:33:57.383259
130,2.7946,2021-02-23 21:35:57.801845
131,2.7767,2021-02-23 21:38:01.913043
132,2.7722,2021-02-23 21:40:07.141846
133,2.7674,2021-02-23 21:42:09.927062
134,2.7679,2021-02-23 21:44:12.848838
135,2.7381,2021-02-23 21:46:14.220686
136,2.7296,2021-02-23 21:48:15.904692
137,2.7223,2021-02-23 21:50:17.484507
138,2.7326,2021-02-23 21:52:17.906161
139,2.7236,2021-02-23 21:54:19.646109
140,2.6840,2021-02-23 21:56:21.644018
141,2.6938,2021-02-23 21:58:22.223000
142,2.6793,2021-02-23 22:00:23.903229
143,2.6674,2021-02-23 22:02:24.522135
144,2.6481,2021-02-23 22:04:24.973884
145,2.6486,2021-02-23 22:06:26.534889
146,2.6340,2021-02-23 22:08:27.689962
147,2.6443,2021-02-23 22:10:29.562420
148,2.6251,2021-02-23 22:12:32.732460
149,2.6074,2021-02-23 22:14:33.594571
150,2.6020,2021-02-23 22:16:35.996475
151,2.5942,2021-02-23 22:18:37.561270
152,2.5880,2021-02-23 22:20:38.791818
153,2.5726,2021-02-23 22:22:39.866406
154,2.5808,2021-02-23 22:24:41.930447
155,2.5612,2021-02-23 22:26:41.190180
156,2.5639,2021-02-23 22:28:44.540955
157,2.5350,2021-02-23 22:30:46.365962
158,2.5518,2021-02-23 22:32:48.958762
159,2.5388,2021-02-23 22:34:48.064115
160,2.5180,2021-02-23 22:36:50.541070
161,2.5328,2021-02-23 22:38:50.732977
162,2.5315,2021-02-23 22:40:50.324022
163,2.5155,2021-02-23 22:42:53.120846
164,2.5007,2021-02-23 22:44:53.437281
165,2.4933,2021-02-23 22:46:55.595272
166,2.4821,2021-02-23 22:48:58.018646
167,2.4790,2021-02-23 22:51:00.414304
168,2.4800,2021-02-23 22:53:02.586808
169,2.4793,2021-02-23 22:55:04.280017
170,2.4627,2021-02-23 22:57:05.898196
171,2.4625,2021-02-23 22:59:07.287744
172,2.4496,2021-02-23 23:01:07.606487
173,2.4584,2021-02-23 23:03:09.191011
174,2.4523,2021-02-23 23:05:10.407914
175,2.4467,2021-02-23 23:07:11.840073
176,2.4453,2021-02-23 23:09:13.309357
177,2.4239,2021-02-23 23:11:15.559240
178,2.4208,2021-02-23 23:13:18.445825
179,2.4227,2021-02-23 23:15:19.245417
180,2.4106,2021-02-23 23:17:19.139537
181,2.3992,2021-02-23 23:19:19.528235
182,2.3923,2021-02-23 23:21:22.381581
183,2.4048,2021-02-23 23:23:28.011569
184,2.4156,2021-02-23 23:25:36.903196
185,2.3810,2021-02-23 23:27:42.609214
186,2.3906,2021-02-23 23:29:52.217704
187,2.3870,2021-02-23 23:31:53.130119
188,2.3842,2021-02-23 23:34:00.340229
189,2.3527,2021-02-23 23:36:07.222741
190,2.3713,2021-02-23 23:38:08.881483
191,2.3520,2021-02-23 23:40:13.152647
192,2.3568,2021-02-23 23:42:16.837522
193,2.3424,2021-02-23 23:44:20.534871
194,2.3419,2021-02-23 23:46:24.552817
195,2.3511,2021-02-23 23:48:25.724335
196,2.3483,2021-02-23 23:50:28.766115
197,2.3534,2021-02-23 23:52:32.415456
198,2.3207,2021-02-23 23:54:31.431242
199,2.3154,2021-02-23 23:56:32.156417
200,2.3201,2021-02-23 23:58:37.761142
201,2.3146,2021-02-24 00:00:42.806012
202,2.3106,2021-02-24 00:02:45.605344
203,2.3017,2021-02-24 00:04:45.815356
204,2.3049,2021-02-24 00:06:49.393524
205,2.3073,2021-02-24 00:08:54.465624
206,2.3056,2021-02-24 00:10:55.182449
207,2.2861,2021-02-24 00:12:56.644869
208,2.2936,2021-02-24 00:15:02.496776
209,2.2816,2021-02-24 00:17:08.384079
210,2.2753,2021-02-24 00:19:08.381727
211,2.2848,2021-02-24 00:21:09.460062
212,2.2727,2021-02-24 00:23:11.018443
213,2.2732,2021-02-24 00:25:12.152192
214,2.2600,2021-02-24 00:27:16.904947
215,2.2676,2021-02-24 00:29:18.883003
216,2.2487,2021-02-24 00:31:19.968032
217,2.2491,2021-02-24 00:33:22.781491
218,2.2601,2021-02-24 00:35:28.631971
219,2.2519,2021-02-24 00:37:28.604240
220,2.2517,2021-02-24 00:39:34.480761
221,2.2350,2021-02-24 00:41:38.012741
222,2.2494,2021-02-24 00:43:39.794758
223,2.2354,2021-02-24 00:45:40.345378
224,2.2398,2021-02-24 00:47:44.834505
225,2.2254,2021-02-24 00:49:45.621883
226,2.2207,2021-02-24 00:51:51.053200
227,2.2147,2021-02-24 00:53:53.032267
228,2.2208,2021-02-24 00:55:52.796787
229,2.2176,2021-02-24 00:57:52.962393
230,2.2137,2021-02-24 00:59:57.395246
231,2.2119,2021-02-24 01:02:03.758262
232,2.2039,2021-02-24 01:04:09.264830
233,2.2049,2021-02-24 01:06:15.009182
234,2.2023,2021-02-24 01:08:16.618797
235,2.1993,2021-02-24 01:10:16.979184
236,2.2013,2021-02-24 01:12:18.377500
237,2.1946,2021-02-24 01:14:19.510262
238,2.1912,2021-02-24 01:16:26.028950
239,2.1869,2021-02-24 01:18:31.014486
240,2.1844,2021-02-24 01:20:32.565425
241,2.1999,2021-02-24 01:22:34.034895
242,2.1807,2021-02-24 01:24:36.096367
243,2.1862,2021-02-24 01:26:36.943052
244,2.1789,2021-02-24 01:28:39.214985
245,2.1844,2021-02-24 01:30:40.835862
246,2.1683,2021-02-24 01:32:41.806562
247,2.1749,2021-02-24 01:34:43.011714
248,2.1628,2021-02-24 01:36:44.930263
249,2.1717,2021-02-24 01:38:50.605161
250,2.1773,2021-02-24 01:40:52.547907
251,2.1646,2021-02-24 01:42:56.184786
252,2.1771,2021-02-24 01:45:02.138092
253,2.1685,2021-02-24 01:47:01.616582
254,2.1498,2021-02-24 01:49:03.611005
255,2.1606,2021-02-24 01:51:08.353215
